Date,Samsung,Apple,Tecno,Huawei,Xiaomi,Infinix,Oppo,Unknown,Itel,Realme,Nokia,Vivo,Honor,Google,LG,Motorola,Hisense,Lenovo,Infinex,ZTE,Sony,BBK,OnePlus,Alcatel,Gionee,TCL,Vodafone,HTC,Safaricom,Condor,Lava,Sharp,Wiko,Meizu,CAT,Mobicel,Unitel,Asus,White Label,Fujitzu,bq,Caterpillar,Other,region,Mixc,T-Mobile,Kyocera,Blu,Cricket,AT&T,Sumsung,Coolpad,Boost,Schok,Unimax,Nothing,General Mobile,Vsmart,Casper,Reeder,Vestel,Jio,Micromax
2022,31.6,33.35,0.09,8.47,13.87,0.09,2.26,1.24,0.02,1.22,0.62,0.46,0.12,0.73,0.72,1.83,NA,0.63,NA,0.12,0.67,NA,1.06,0.18,NA,0.06,0.03,0.08,NA,NA,NA,NA,0.04,0.03,0.03,NA,NA,0.15,NA,NA,0.04,NA,0.17,eu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2023,31.05,34.92,0.17,5.43,13.98,0.16,2.39,2.96,0.03,1.43,0.52,0.59,0.33,1.09,0.4,1.83,NA,0.55,NA,0.12,0.45,NA,1,0.13,NA,0.08,0.02,0.04,NA,NA,NA,NA,0.02,0.01,0.05,NA,NA,0.11,NA,NA,0.02,NA,0.1,eu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA
2024,32.08,32.59,0.32,3.49,14.13,0.35,2.56,4.08,0.05,1.51,0.43,0.77,0.86,1.78,0.27,2.35,NA,0.46,NA,0.12,0.35,NA,0.87,0.1,NA,0.11,0.01,0.02,NA,NA,NA,NA,0.01,0.01,0.04,NA,NA,0.1,NA,NA,0.01,NA,0.08,eu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA
2025,32.61,34.83,0.37,2.33,11.95,0.42,2.13,4.1,0.05,1.21,0.37,0.79,1.26,2.83,0.15,2.46,NA,0.38,NA,0.11,0.29,NA,0.87,0.06,NA,0.09,0.01,0.01,NA,NA,NA,NA,0.01,0,0.02,NA,NA,0.06,NA,NA,0,NA,0.09,eu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA
2022,24.48,17.21,0.79,6.35,17.48,1.01,9.47,3.35,0.23,5.6,0.43,8.29,0.07,0.26,0.39,0.49,NA,0.38,0.11,0.02,0.43,0.16,1.39,0.03,0.03,0.02,NA,0.13,NA,NA,0.08,0.03,NA,0.03,NA,NA,NA,0.44,NA,NA,NA,NA,0.17,as,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.31,0.02,0.12,0.08,0.09,0.01,0.04
2023,20.98,19.47,0.93,4.18,14.93,1.27,10.1,7.09,0.25,6.34,0.34,9.46,0.17,0.39,0.21,0.59,NA,0.24,0.09,0.02,0.27,0.12,1.69,0.01,0.01,0.01,NA,0.06,NA,NA,0.04,0.02,NA,0.01,NA,NA,NA,0.26,NA,NA,NA,NA,0.08,as,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.07,0.1,0.04,0.05,0.02,0.04,0.03
2024,18.39,19.2,1.26,3.59,14.51,1.97,9.22,9.22,0.34,6.45,0.22,9.89,0.73,0.54,0.14,1.05,NA,0.19,0.04,0.04,0.29,0.09,1.98,0.01,0.01,0.01,NA,0.05,NA,NA,0.04,0.01,NA,0.01,NA,NA,NA,0.22,NA,NA,NA,NA,0.05,as,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.03,0.07,0.01,0.03,0.01,0.02,0.01
2025,16.26,17.68,1.41,3.02,13.71,2.29,8.97,11.84,0.35,6.78,0.14,10.39,1.17,0.81,0.09,1.9,NA,0.12,0,0.05,0.24,0.05,2.2,0,0,0.01,NA,0.02,NA,NA,0.05,0.01,NA,0.02,NA,NA,NA,0.12,NA,NA,NA,NA,0.05,as,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.01,0.03,0.01,0.03,0,0.01,0.01
2022,30.7,53.06,0.1,2.98,1.9,0.05,3.83,1.13,0.01,0.5,0.82,0.62,0.01,1.81,0.26,0.79,NA,0.38,NA,0.04,0.17,NA,0.41,0.15,NA,0.01,0.04,0.07,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.07,NA,NA,NA,NA,0.08,oc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2023,27.9,56.56,0.09,1.53,1.67,0.08,3.49,2.1,0.01,0.55,0.65,0.78,0.02,2.31,0.19,0.83,NA,0.33,NA,0.02,0.13,NA,0.39,0.11,NA,0.03,0.02,0.04,NA,NA,NA,NA,NA,NA,0.02,NA,NA,0.07,NA,NA,NA,NA,0.06,oc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA
2024,28.31,52.32,0.08,0.94,1.15,0.05,2.73,2.7,0.01,0.22,0.54,0.4,0.09,8.44,0.12,0.98,NA,0.23,NA,0.02,0.09,NA,0.26,0.06,NA,0.05,0.02,0.04,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.08,NA,NA,NA,NA,0.03,oc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA
2025,27.77,50.69,0.06,0.55,1.04,0.05,2.24,2.79,0.01,0.17,0.34,0.32,0.12,11.91,0.06,1.18,NA,0.16,NA,0.02,0.05,NA,0.21,0.03,NA,0.07,0.01,0,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.06,NA,NA,NA,NA,0.01,oc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA
